,pred,gt
428,HEUTE WOLKE WAHRSCHEINLICH ODER HEUTE ORT LANG MEISTENS,IX NACHT WAHRSCHEINLICH LOCKER ORT NEBEL HABEN LANG BLEIBEN
429,NORD SUED TROCKEN IX,NORD FLUSS SUED TROCKEN IX
430,REGION,REGION NEBEL
431,SUEDWEST,SUEDWEST BISSCHEN SONNE
432,IX REGEN FREITAG ABEND SUED KOMMEN,ABER REGEN ERST FREITAG ABEND SUED KOMMEN REGEN
433,FREITAG MILD NORD REGEN BISSCHEN GRAD,FREITAG BISSCHEN VERSCHWINDEN BISSCHEN VERSCHWINDEN NORD BISSCHEN REGEN BISSCHEN STELLENWEISE VIERZEHN GRAD UNGEFAEHR
434,MORGEN NEUNZEHN REGION SIEBEN ZWANZIG GRAD,IX MORGEN NEUNZEHN GRAD REGION SIEBEN ZWANZIG GRAD
435,AUCH DANN VIEL REGEN KOMMEN OST OST,ABER IM-MOMENT DANN VIEL REGEN REGION OST REGION
436,MORGEN NORD,MORGEN WEST VERBREITEN
437,MORGEN TEMPERATUR SECHS GRAD FLUSS ACHT GRAD,MORGEN TEMPERATUR NULL BIS SIEBEN GRAD FLUSS MOEGLICH ACHT GRAD
438,JETZT WETTER MORGEN DIENSTAG SECHS SECHS JANUAR,UND JETZT WETTER MORGEN DIENSTAG SECHS ZWANZIG JANUAR
439,IN-KOMMEND WINTER KAUM PASSEN HEUTE SONNE NEBEL,SUED VERAENDERN KAUM WIE HEUTE SONNE ODER NEBEL
440,OST,OST NACHT GEFAHR WIND
441,IX WETTER KOMMEN,DARUNTER TAG IM-VERLAUF MEHR WARM
442,WIEDER WETTER FREUNDLICH,MORGEN WIEDER WETTER RUHIG FREUNDLICH WETTER HOCH DRUCK
443,DONNERSTAG STARK REGEN WIND,DONNERSTAG DEUTSCH LAND WECHSELHAFT UEBERWIEGEND REGEN MOEGLICH STARK WIND
444,EUROPA BIS IX FREITAG MEISTENS WETTER FREUNDLICH SONNE TEMPERATUR STEIGEN,HOCH REGION BIS FREITAG MEISTENS WETTER FREUNDLICH SONNE TEMPERATUR STEIGEN
445,JETZT WETTER VORAUS SAGEN MORGEN FREITAG VIER DEZEMBER,JETZT WETTER VORAUSSAGE MORGEN FREITAG VIER ZWANZIG DEZEMBER
446,MITTWOCH WEST WOLKE BIS SECHSZEHN,MITTWOCH WEST WOLKE ACHT BIS SECHSZEHN
447,REGEN GEWITTER SUEDWEST HEUTE REGION,GEWITTER ENORM SUEDWEST BIS-MORGEN NACHT KOMMEN
448,WEST NORDWEST,NORDWEST SPAETER AUFLOESEN
449,WIE-AUSSEHEN MORGEN MONTAG MAL SONNE WOLKE NORDWEST BISSCHEN SCHNEE,WIE-AUSSEHEN IN-KOMMEND MONTAG MAL SONNE MAL WOLKE WEST BISSCHEN SCHNEE
450,MORGEN TEIL REGEN TEIL SONNE OST SONNE,MORGEN TEIL UEBERWIEGEND WOLKE TEIL SONNE OST UEBERWIEGEND MEHR SONNE DABEI
451,WIE-AUSSEHEN WETTER MORGEN MITTWOCH EINS ZWANZIG,JETZT WIE-AUSSEHEN WETTER MORGEN MITTWOCH EINS ZWANZIG OKTOBER
452,WIE-AUSSEHEN NORD WEITER SEHEN SEHEN,IHR WUENSCHEN WISSEN SOMMER WEITER WIE LAUFEN WIE-AUSSEHEN DAMEN UND HERREN poss-EUCH
453,DESHALB EIS,DESHALB NAECHSTE WOCHE KOMMEN
454,SCHOEN ABEND,SCHOEN ABEND poss-EUCH
455,SCHOEN ABEND poss-EUCH,SCHOEN ABEND WUENSCHEN
456,TAG NORD REGEN FLUSS,TAG VIERZEHN NORD REGEN EINS ZWANZIG FLUSS
457,AUCH REGEN REGION BLEIBEN TROCKEN,NORD AUCH REGEN DABEI SUEDWEST BLEIBEN TROCKEN
458,TEMPERATUR IN-KOMMEND,TEMPERATUR IN-KOMMEND MEHR
459,JETZT WETTER WETTER WIE-AUSSEHEN MORGEN SAMSTAG OKTOBER,JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG ZWEITE OKTOBER
460,FREITAG RUHIG KUEHL,FREITAG RUHIG MEHR KUEHL
461,MORGEN GEWITTER MEISTENS SUEDOST REGION BURG NORD REGEN,MORGEN GEWITTER MEISTENS WO SUEDOST REGION BRAND BURG IX NORD TEILWEISE REGEN
462,OST SAMSTAG GRAD NEBEL NUR ZWEI GRAD,WENN SONNE HABEN DANN SCHAFFEN ELF GRAD NEBEL NUR DREI GRAD
463,IX MORGEN HOCH ANFANG IX WOLKE KOMMEN OST,IX MORGEN IM-VERLAUF IX ANFANG FREUNDLICH ABER WOLKE KOMMEN OST
464,DIESE ZWISCHEN MORGEN WARM,IN-KOMMEND FRUEHLING WETTER MORGEN WARM
465,MORGEN OST OST GRAD FLUSS GRAD,MORGEN OST REGION ZWEI GRAD REGION DREIZEHN GRAD
466,WETTER WIE-AUSSEHEN MORGEN SONNTAG SECHS,WETTER WIE-AUSSEHEN MORGEN SONNTAG SECHS SEPTEMBER
467,OST SUEDOST SONNE NORDWEST MEISTENS WOLKE IX REGEN SUED AUCH SCHAUER,REGION SUEDOST SONNE NORDWEST UEBERWIEGEND WOLKE IX REGEN SUEDOST AUCH SCHAUER
468,NACHT TEIL FROST,NACHT TEIL BODEN FROST
469,NACHMITTAG FLUSS REGEN,AM-TAG REGION SCHNEE FLUSS REGEN
470,JETZT WETTER VORAUS MORGEN MONTAG EINS ZWANZIG JANUAR,JETZT WETTER VORAUS INFORMIEREN MORGEN MONTAG EINS DREISSIG JANUAR
471,WEST VERSCHWINDEN,WEST LANGSAM VERSCHWINDEN
472,TEMPERATUR SUED REGION VIER NEUNZEHN,MITTAG TEMPERATUR SUED WARM poss-MEIN NICHT
473,REGION SCHAUER,SONST REGION HAUPTSAECHLICH REGEN
474,TAG STARK WOLKE TEIL SCHNEE SCHNEIEN,TAG HAUPTSAECHLICH WOLKE NEBEL DANN TEIL SCHNEE SCHNEIEN REGEN
475,AB MONTAG DESHALB DEUTSCH KOMMEN REGEN,AB MONTAG DAS-IST-ES DEUTSCH EINFLUSS REGEN
476,IN-KOMMEND TAG GLATT KALT TEMPERATUR UNGEFAEHR NULL TAG ZEHN,IN-KOMMEND TAG BLEIBEN KALT MITTE EUROPA UNGEFAEHR NULL ZWISCHEN MITTE MEER ZEHN BIS FUENFZEHN
477,SCHOEN ABEND poss-EUCH GUT,SCHOEN ABEND WUENSCHEN MACHEN GUT WUENSCHEN
478,EINS ZEHN REGION ZWANZIG,MORGEN ZEHN BIS FUENFZEHN REGION SECHSZEHN BIS DREI ZWANZIG
479,SAMSTAG NORD REGEN KOENNEN WIND,SAMSTAG NORD SUEDOST REGEN ABER GLEICH ZEIT WIND
480,SCHOEN MEER REGION,SCHOEN WO MEER REGION
481,WEHEN REGION HIMMEL DEUTSCH SUED VIEL,REGEN REGION VIEL HIMMEL REGION SUEDWEST AUCH LOCH neg-WOLKE negalp-KEIN
482,NACH BESSER NORD TROCKEN,WEST FLUSS WEST REGION NACH MITTAG BESSER SONNE MOEGLICH
483,DIENSTAG MITTWOCH TIEF KOMMEN MOEGLICH REGEN GEWITTER,DIENSTAG MITTWOCH TIEF KOMMEN MOEGLICH REGEN GEWITTER
484,DIENSTAG REGEN KOENNEN GEWITTER UNWETTER REGEN HAGEL STURM KOENNEN,DIENSTAG KOMMEN REGEN KOENNEN GEWITTER UNWETTER REGEN HAGEL KRAEFTIG WIND KOENNEN
485,NACHT VIER GRAD SEE MINUS VIER,NACHT FUENF GRAD SEE MINUS VIER BERG IX
486,OST,OST SUEDOST UEBERWIEGEND WOLKE BISSCHEN SCHNEE
487,NACHT NULL FUENF BIS SIEBEN GRAD,NACHT NULL BIS ZEHN FLUSS BIS SIEBEN GRAD
488,TAG SUEDOST REGEN AUCH SCHNEE REGEN,TAG SUEDOST SCHNEE SCHNEIEN FLACH AUCH SCHNEE SCHNEIEN
489,HEUTE NACHT VIERZEHN BIS VIER GRAD BERG ZWISCHEN,HEUTE NACHT DREIZEHN BIS DREI GRAD ALPEN WAHRSCHEINLICH ZWISCHEN NULL
490,JETZT IN-KOMMEND IX REGEN GEWITTER KOENNEN STARK,JETZT IN-KOMMEND IX REGEN GEWITTER KOENNEN STARK
491,HEUTE NACHT KOENNEN IX REGEN GEWITTER ALPEN,DANN ABEND KOENNEN BISSCHEN REGEN GEWITTER BERG IX
492,WOCHENENDE WARM SONNE BIS GRAD STEIGEN,WOCHE WARM AUCH SONNE JEDEN-TAG GRAD STEIGEN
493,NEUN REGION MINUS SIEBEN NORD,NEUN GRAD REGION MINUS ACHT NORDOST
494,SAMSTAG SUEDWEST MEISTENS TROCKEN SONNE SCHAUER NORD DANN GEWITTER,SAMSTAG SUEDWEST UEBERWIEGEND TROCKEN IX SONNE SCHAUER NORDWEST DANN GEWITTER
495,NORD KOENNEN KOMMEN,NORD KALT KOMMEN ZONE DAZWISCHEN
496,OST KUEHL GRAD REGEN GRAD,OST WARM REGION BIS DREISSIG GRAD REGION UEBERSPRINGEN REGION KUEHL NUR FUENFZEHN SECHSZEHN GRAD
497,MORGEN SONNE KOMMEN,MORGEN SONNE IX KOMMEN
498,MORGEN WETTER WIE-AUSSEHEN DIENSTAG WIE-AUSSEHEN,JETZT MORGEN WETTER WIE-AUSSEHEN DIENSTAG DREISSIG MAERZ
499,OST REGION WARM ZWANZIG GRAD MEHR WARM,OST REGION ZUERST WARM VIER AUCH SUED BAYERN WARM
500,NACHT IX BISSCHEN REGEN NORD SCHNEE,NACHT IX BISSCHEN REGEN HOCH SCHNEE
501,MITTWOCH LANG GUT SONNE VIER SECHSZEHN BIS VIER ZWANZIG GRAD,MITTWOCH ALLE GUT SONNE SCHOEN SECHSZEHN BIS FUENF ZWANZIG GRAD
502,MORGEN IX WEHEN NORD FRISCH WIND,MORGEN IX WEHEN IX NORD FRISCH WIND
503,REGION REGION STARK WOLKE REGEN,MITTE ZONE neg-MOEGEN STARK WOLKE ODER REGEN
504,SCHOEN ABEND WUENSCHEN GUT,SCHOEN ABEND MACHEN poss-EUCH GUT
505,MORGEN SONNE KUESTE REGION WOLKE MOEGLICH VIEL,MORGEN SONNE UEBERALL KUESTE REGION WOLKE MOEGLICH REGEN neg-VIEL
506,MORGEN DEUTSCH SUED SECHSZEHN WOLKE REGION,MORGEN DEUTSCH LAND IX TIEF KOMMEN KUEHL KOMMEN
507,WIE-AUSSEHEN IN-KOMMEND SAMSTAG REGEN BESONDERS NORD SONNE,WIE-AUSSEHEN IN-KOMMEND SAMSTAG SCHNEE SCHNEIEN BESONDERS NORD WAHRSCHEINLICH SONNE
508,SUED WEHEN BISSCHEN WEHEN NORD STARK WEHEN MEER BERG STARK STURM MEER ALLE GRAD AUCH ORKAN,SUED WEHEN BISSCHEN WEHEN NORD FRISCH NATUR STARK STURM SEE MEER SCHWER STURM BERG E+R+Z BERG AUCH ORKAN
509,NORD WOLKE SONST NUR IX BISSCHEN NEBEL,NORDOST WIEDER WOLKE ABER SONST NUR BISSCHEN WOLKE
510,LAND BERG DREISSIG GRAD,KOELN REGION IX DREIZEHN GRAD ALPEN DREI GRAD
511,MITTE WOLKE MORGEN KOENNEN GEWITTER,MITTE REGION WOLKE MORGEN KOENNEN REGEN GEWITTER
512,NORD REGION SCHWACH SONNE,NORD REGION SCHWACH MAESSIG WIND
513,WEST REGEN GEWITTER,WEST MEHR SCHAUER GEWITTER
514,HEUTE NACHT PLUS ZWANZIG REGION FROST MINUS EINS,HEUTE NACHT PLUS DREI REGION NULL ZWISCHEN LEICHT FROST MINUS EINS MINUS ZWEI
515,KOENNEN NORD LUFT KOMMEN DIENSTAG TEMPERATUR STEIGEN FREUNDLICH,KOENNEN IX MEHR KUEHL KOMMEN AB DIENSTAG LUFT HOCH HOEHER TEMPERATUR HOEHER MEHR FREUNDLICH
516,WIND WIND SCHWACH MAESSIG FRISCH REGION STARK IX REGION IX STURM MOEGLICH,WIND MAESSIG FRISCH KUESTE IX STARK WENN GEWITTER IX DANN STURM MOEGLICH
517,MORGEN IX FREUNDLICH,MORGEN A HOCH KOMMEN REGION FREUNDLICH
518,NORDWEST HEUTE SONNE MEISTENS,NORDWEST IX AUCH KOMMEN SONNE MEISTENS
